1;0
2;11994
3;14813
4;7256
5;-3401
6;-8576
7;-6079
8;-1018
9;451
10;-2230
11;-3863
12;213
13;8142
14;12442
15;7318
16;-4889
17;-14844
18;-14324
19;-3713
20;8324
21;12687
22;7680
23;-435
24;-4265
25;-2374
26;309
27;-1252
28;-6139
29;-8118
30;-2469
31;8093
32;14875
33;11104
34;-1290
35;-12809
36;-14653
37;-6359
38;4329
39;8987
40;5968
41;751
42;-613
43;2069
44;3455
45;-837
46;-8536
47;-12119
48;-6275
49;6026
50;15266
51;13709
52;2505
53;-9287
54;-12850
55;-7154
56;1107
57;4655
58;2496
59;-190
60;1452
61;6150
62;7617
63;1541
64;-8864
65;-14840
66;-10145
67;2571
68;13544
69;14394
70;5407
71;-5247
72;-9348
73;-5806
74;-452
75;794
76;-1893
77;-3043
78;1431
79;8863
80;11722
81;5203
82;-7116
83;-15587
84;-13003
85;-1273
86;10198
87;12929
88;6565
89;-1795
90;-5029
91;-2594
92;95
93;-1617
94;-6114
95;-7080
96;-622
97;9566
98;14707
99;9125
100;-3835
101;-14192
102;-14039
103;-4406
104;6148
105;9653
106;5590
107;123
108;-990
109;1706
110;2633
111;-1990
112;-9121
113;-11254
114;-4110
115;8151
116;15806
117;12212
118;25
119;-11052
120;-12923
121;-5916
122;2495
123;5383
124;2665
125;-26
126;1747
127;6032
128;6511
129;-280
130;-10194
131;-14480
132;-8050
133;5073
134;14750
135;13588
136;3363
137;-7025
138;-9899
139;-5323
140;233
141;1199
142;-1512
143;-2228
144;2513
145;9309
146;10720
147;3003
148;-9126
149;-15921
150;-11339
151;1228
152;11841
153;12831
154;5212
155;-3201
156;-5712
157;-2707
158;-14
159;-1843
160;-5907
161;-5916
162;1160
163;10745
164;14160
165;6929
166;-6277
167;-15213
168;-13044
169;-2284
170;7871
171;10082
172;5003
173;-617
174;-1417
175;1312
176;1833
177;-2995
178;-9429
179;-10125
180;-1891
181;10033
182;15932
183;10392
184;-2481
185;-12560
186;-12650
187;-4455
188;3909
189;6013
190;2717
191;27
192;1904
193;5743
194;5299
195;-2012
196;-11216
197;-13750
198;-5768
199;7438
200;15578
201;12410
202;1176
203;-8680
204;-10201
205;-4632
206;1022
207;1642
208;-1113
209;-1450
210;3435
211;9481
212;9474
213;780
214;-10868
215;-15839
216;-9376
217;3725
218;13203
219;12383
220;3650
221;-4613
222;-6282
223;-2694
224;-12
225;-1933
226;-5543
227;-4667
228;2831
229;11606
230;13255
231;4576
232;-8549
233;-15842
234;-11690
235;-47
236;9445
237;10250
238;4210
239;-1448
240;-1869
241;915
242;1083
243;-3830
244;-9467
245;-8772
246;319
247;11624
248;15642
249;8298
250;-4949
251;-13765
252;-12028
253;-2803
254;5307
255;6513
256;2635
257;-30
258;1931
259;5309
260;4024
261;-3610
262;-11912
263;-12678
264;-3362
265;9603
266;16003
267;10888
268;-1095
269;-10160
270;-10230
271;-3740
272;1890
273;2096
274;-724
275;-736
276;4178
277;9387
278;8027
279;-1403
280;-12299
281;-15345
282;-7166
283;6147
284;14241
285;11588
286;1918
287;-5985
288;-6705
289;-2541
290;101
291;-1898
292;-5046
293;-3376
294;4346
295;12135
296;12024
297;2133
298;-10591
299;-16060
300;-10010
301;2244
302;10819
303;10139
304;3224
305;-2345
306;-2318
307;542
308;411
309;-4479
310;-9246
311;-7243
312;2462
313;12887
314;14948
315;5987
316;-7310
317;-14627
318;-11064
319;-1001
320;6642
321;6854
